source,judge,model,curve,threshold,x,y
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,roc,32.0,0.3833,0.9917
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,32.0,0.9917,0.838
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,roc,28.0,0.4,1.0
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,28.0,1.0,0.8333
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,roc,18.0,0.7,1.0
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,18.0,1.0,0.7407
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,roc,15.0,0.7167,1.0
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,15.0,1.0,0.7362
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,roc,12.0,0.8833,1.0
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,12.0,1.0,0.6936
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,roc,10.0,0.9667,1.0
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,10.0,1.0,0.6742
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,roc,8.0,1.0,1.0
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,8.0,1.0,0.6667
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,roc,7.0,1.0,1.0
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,7.0,1.0,0.6667
