judge,model,family,n_seeds,n_pooled,accuracy_mean,ci_low,ci_high,boot_low,boot_high,identical_across_seeds
hybrid:and,mistral-nemo-llm,variance_increase,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,mistral-nemo-llm,tail_regression,5,25,0.04,0.007,0.195,0.0,0.12,
hybrid:and,mistral-nemo-llm,gradual_drift,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,mistral-nemo-llm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,mistral-nemo-llm,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:and,moondream-vlm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,moondream-vlm,noise_equivalent,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,moondream-vlm,healed_transient,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,moondream-vlm,clean_mean_shift,5,25,0.28,0.143,0.476,0.2,0.36,
hybrid:and,moondream-vlm,variance_increase,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,moondream-vlm,tail_regression,5,25,0.04,0.007,0.195,0.0,0.12,
hybrid:and,moondream-vlm,gradual_drift,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,moondream-vlm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,moondream-vlm,subtle_regression,5,25,0.64,0.445,0.798,0.52,0.76,
hybrid:and,olmo2-llm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,olmo2-llm,noise_equivalent,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,olmo2-llm,healed_transient,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,olmo2-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,olmo2-llm,variance_increase,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,olmo2-llm,tail_regression,5,25,0.04,0.007,0.195,0.0,0.12,
hybrid:and,olmo2-llm,gradual_drift,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,olmo2-llm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,olmo2-llm,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:and,phi4-llm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,phi4-llm,noise_equivalent,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,phi4-llm,healed_transient,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,phi4-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,phi4-llm,variance_increase,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,phi4-llm,tail_regression,5,25,0.04,0.007,0.195,0.0,0.12,
hybrid:and,phi4-llm,gradual_drift,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,phi4-llm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,phi4-llm,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:and,qwen-llm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
